"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1305","20230609","2","30050","-4360","30780","-760","0.98","27610","-2960","29280","-760","2440","-1400","1500","-"
"1306","20230609","2","439000","-56100","545960","-55740","0.8","322400","-66850","385610","-49740","116600","10750","160350","-6000"
"1308","20230609","2","17300","6800","150300","4400","0.12","5200","2800","150300","4400","12100","4000","-","-"
"1309","20230609","2","1941","129","-","-","-","751","82","-","-","1190","47","-","-"
"1311","20230609","2","11510","2700","490","50","23.49","7070","30","490","50","4440","2670","-","-"
"1319","20230609","2","74000","4000","-","-","-","-","-","-","-","74000","4000","-","-"
"1320","20230609","2","33083","355","37874","-1842","0.87","30127","1581","35805","-1842","2956","-1226","2069","-"
"1321","20230609","2","285669","39765","334187","43022","0.85","271852","38786","312130","43067","13817","979","22057","-45"
"1322","20230609","2","2910","40","-","-","-","800","50","-","-","2110","-10","-","-"
"1324","20230609","2","200","-","-","-","-","-","-","-","-","200","-","-","-"
"1325","20230609","2","175100","-10000","4400","-14100","39.8","14600","-12600","4400","-14100","160500","2600","-","-"
"1326","20230609","2","1846","979","219","62","8.43","1741","978","219","62","105","1","-","-"
"1328","20230609","2","25210","40","11430","-400","2.21","16400","-10","11430","-400","8810","50","-","-"
"1329","20230609","2","6313","593","10184","-517","0.62","5695","661","10184","-517","618","-68","-","-"
"1330","20230609","2","13000","720","57230","-1720","0.23","9890","1840","57230","-1720","3110","-1120","-","-"
"1343","20230609","2","97170","-70","40020","2760","2.43","56360","1780","39920","2760","40810","-1850","100","-"
"1345","20230609","2","23400","-6300","7600","2300","3.08","8900","-4500","7500","2300","14500","-1800","100","-"
"1346","20230609","2","5921","2068","8678","-1961","0.68","4227","854","8678","-1961","1694","1214","-","-"
"1348","20230609","2","12340","70","7630","840","1.62","11160","-","7630","840","1180","70","-","-"
"1349","20230609","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1356","20230609","2","1197680","-65080","161620","-1430","7.41","773860","-118040","161620","-1430","423820","52960","-","-"
"1357","20230609","2","197311244","7279894","9894596","2644464","19.94","129146105","2441806","9894592","2644464","68165139","4838088","4","-"
"1358","20230609","2","17104","1705","22628","723","0.76","15114","774","22428","523","1990","931","200","200"
"1360","20230609","2","21685890","568430","597290","253050","36.31","13246140","144580","597290","253050","8439750","423850","-","-"
"1364","20230609","2","156","56","92","-20","1.7","49","45","92","-20","107","11","-","-"
"1365","20230609","2","25702","3528","14772","-111","1.74","7414","2820","14772","-111","18288","708","-","-"
"1366","20230609","2","1388677","44087","25920","4847","53.58","1035242","25562","25920","4847","353435","18525","-","-"
"1367","20230609","2","1357","-283","4502","117","0.3","967","-378","4502","117","390","95","-","-"
"1368","20230609","2","131679","4519","548","-64","240.29","73896","2090","548","-64","57783","2429","-","-"
"1369","20230609","2","378","124","2688","-239","0.14","378","174","2688","-239","-","-50","-","-"
"1385","20230609","2","1006","139","-","-","-","145","63","-","-","861","76","-","-"
"1386","20230609","2","233","-14","-","-","-","47","-14","-","-","186","-","-","-"
"1387","20230609","2","1","-","-","-","-","1","-","-","-","-","-","-","-"
"1388","20230609","2","11","-","-","-","-","10","-","-","-","1","-","-","-"
"1389","20230609","2","68","7","-","-","-","36","9","-","-","32","-2","-","-"
"1390","20230609","2","273","8","-","-","-","264","8","-","-","9","-","-","-"
"1391","20230609","2","98","27","-","-","-","31","26","-","-","67","1","-","-"
"1392","20230609","2","214","-","-","-","-","93","1","-","-","121","-1","-","-"
"1393","20230609","2","93","-67","-","-","-","17","-67","-","-","76","-","-","-"
"1394","20230609","2","10","-10","-","-","-","6","-9","-","-","4","-1","-","-"
"1397","20230609","2","32","32","10","-","3.2","32","32","10","-","-","-","-","-"
"1398","20230609","2","2040","300","-","-","-","550","300","-","-","1490","-","-","-"
"1399","20230609","2","200","-","-","-","-","200","-","-","-","-","-","-","-"
"1456","20230609","2","126296","-592","23","-1996","5491.13","119099","-388","23","-1996","7197","-204","-","-"
"1457","20230609","2","2160","-1229","10","6","216","734","-1271","10","6","1426","42","-","-"
"1458","20230609","2","53420","15608","114498","-9139","0.47","39166","12487","114277","-9360","14254","3121","221","221"
"1459","20230609","2","10328263","-1059799","222965","31025","46.32","7395669","-625791","222965","31025","2932594","-434008","-","-"
"1464","20230609","2","893","94","67","-","13.33","113","89","67","-","780","5","-","-"
"1465","20230609","2","66","1","-","-","-","53","1","-","-","13","-","-","-"
"1466","20230609","2","6204","51","57","-66","108.84","751","-216","57","-66","5453","267","-","-"
"1469","20230609","2","20950","2390","40","-90","523.75","18260","2390","40","-90","2690","-","-","-"
"1472","20230609","2","2735","-1012","42","41","65.12","634","-917","42","41","2101","-95","-","-"
"1473","20230609","2","50","50","10","-1060","5","-","-","10","-1060","50","50","-","-"
"1474","20230609","2","10","9","-","-","-","-","-","-","-","10","9","-","-"
"1475","20230609","2","13298","-4062","14695","1919","0.9","11927","-3289","13688","1919","1371","-773","1007","-"
"1476","20230609","2","5310","-1409","2363","1225","2.25","1453","-1399","2363","1225","3857","-10","-","-"
"1477","20230609","2","6","-","10","-","0.6","6","-","10","-","-","-","-","-"
"1478","20230609","2","3853","468","592","-23","6.51","1394","-220","592","-23","2459","688","-","-"
"1479","20230609","2","161","-40","-","-","-","-","-10","-","-","161","-30","-","-"
"1480","20230609","2","1","-","-","-","-","1","-","-","-","-","-","-","-"
"1481","20230609","2","751","696","39","1","19.26","251","196","39","1","500","500","-","-"
"1482","20230609","2","81082","3323","24","-675","3378.42","35030","-2282","24","-675","46052","5605","-","-"
"1483","20230609","2","2","-7","-","-","-","2","-7","-","-","-","-","-","-"
"1484","20230609","2","-","-","100","-90","-","-","-","100","-90","-","-","-","-"
"1485","20230609","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1486","20230609","2","3654","715","-","-","-","3037","757","-","-","617","-42","-","-"
"1487","20230609","2","3697","-140","13","1","284.38","697","-416","13","1","3000","276","-","-"
"1488","20230609","2","11660","-490","2430","1100","4.8","1170","-510","2430","1100","10490","20","-","-"
"1489","20230609","2","16920","-4412","1831","-113","9.24","7894","-2111","1831","-113","9026","-2301","-","-"
"1490","20230609","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1492","20230609","2","153","83","62","-","2.47","152","83","62","-","1","-","-","-"
"1493","20230609","2","50","-","35","-","1.43","50","-","35","-","-","-","-","-"
"1494","20230609","2","176","26","3","-1","58.67","8","-3","3","-1","168","29","-","-"
"1495","20230609","2","210","-50","10","10","21","20","20","10","10","190","-70","-","-"
"1496","20230609","2","15923","2572","-","-6","-","6612","1373","-","-6","9311","1199","-","-"
"1497","20230609","2","105815","-2247","1335","12","79.26","23498","108","1335","12","82317","-2355","-","-"
"1498","20230609","2","-","-","10","-","-","-","-","10","-","-","-","-","-"
"1499","20230609","2","52","-","-","-","-","51","-","-","-","1","-","-","-"
"1540","20230609","2","241532","-2647","29001","5442","8.33","115673","-1191","29001","5442","125859","-1456","-","-"
"1541","20230609","2","73511","163","5528","-2751","13.3","17572","3","5528","-2751","55939","160","-","-"
"1542","20230609","2","40574","1691","4432","544","9.15","16630","1960","4432","544","23944","-269","-","-"
"1543","20230609","2","2798","134","-","-","-","1426","131","-","-","1372","3","-","-"
"1545","20230609","2","97400","-2072","43874","6958","2.22","35423","-12900","41374","4458","61977","10828","2500","2500"
"1546","20230609","2","4051","-4141","15534","-85","0.26","2543","-2648","15534","-85","1508","-1493","-","-"
"1547","20230609","2","78800","1310","74850","1860","1.05","14160","1810","74850","1860","64640","-500","-","-"
"1550","20230609","2","35760","2220","3170","1110","11.28","9830","2220","3170","1110","25930","-","-","-"
"1551","20230609","2","960","-110","300","10","3.2","260","-70","300","10","700","-40","-","-"
"1552","20230609","2","7849503","-547106","500","-11500","15699.01","5620526","-236654","-","-","2228977","-310452","500","-11500"
"1554","20230609","2","9710","80","2300","-320","4.22","2250","300","2300","-320","7460","-220","-","-"
"1555","20230609","2","7220","340","-","-160","-","3420","190","-","-160","3800","150","-","-"
"1557","20230609","2","1866","-216","-","-","-","422","56","-","-","1444","-272","-","-"
"1559","20230609","2","4368","-261","314","298","13.91","3869","-351","314","298","499","90","-","-"
"1560","20230609","2","1052","-601","23","-","45.74","378","-603","23","-","674","2","-","-"
"1563","20230609","2","99443","15369","21092","6514","4.71","55532","6167","21092","6514","43911","9202","-","-"
"1566","20230609","2","1017","-4","153","-1","6.65","97","-3","153","-1","920","-1","-","-"
"1568","20230609","2","39910","-380","83300","-3690","0.48","32930","-80","78750","-2050","6980","-300","4550","-1640"
"1569","20230609","2","141830","39470","80","-480","1772.88","18220","-12010","80","-480","123610","51480","-","-"
"1570","20230609","2","2899436","507846","3720792","-425707","0.78","2542702","406626","3713370","-424267","356734","101220","7422","-1440"
"1571","20230609","2","3274826","167353","10816","752","302.78","2150218","135754","10816","752","1124608","31599","-","-"
"1572","20230609","2","63290","-5250","-","-","-","19990","-190","-","-","43300","-5060","-","-"
"1573","20230609","2","4540","-1070","290","-10","15.66","3160","-20","290","-10","1380","-1050","-","-"
"1577","20230609","2","1779","113","116","27","15.34","1196","87","116","27","583","26","-","-"
"1578","20230609","2","3232","-1239","2315","-534","1.4","2999","-1270","2315","-534","233","31","-","-"
