"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1305","20231013","2","28250","-440","25680","690","1.1","24510","-1210","24180","690","3740","770","1500","-"
"1306","20231013","2","547980","-57280","429820","-22110","1.27","359660","-87580","335850","3350","188320","30300","93970","-25460"
"1308","20231013","2","171838","-2114","39343","3784","4.37","116416","-1499","39343","3784","55422","-615","-","-"
"1309","20231013","2","1515","-","-","-","-","372","-","-","-","1143","-","-","-"
"1311","20231013","2","6670","-3720","300","40","22.23","5410","-3570","300","40","1260","-150","-","-"
"1319","20231013","2","78000","-","-","-","-","1000","-","-","-","77000","-","-","-"
"1320","20231013","2","35012","-14283","18281","3562","1.92","28142","-6336","16214","3562","6870","-7947","2067","-"
"1321","20231013","2","157677","-55697","101210","-17906","1.56","109043","-45773","98959","-14737","48634","-9924","2251","-3169"
"1322","20231013","2","2630","-160","-","-","-","540","-70","-","-","2090","-90","-","-"
"1324","20231013","2","200","-","-","-","-","-","-","-","-","200","-","-","-"
"1325","20231013","2","241100","-3800","5800","3300","41.57","103000","-2300","5800","3300","138100","-1500","-","-"
"1326","20231013","2","1064","-16","62","-138","17.16","676","-31","62","-138","388","15","-","-"
"1328","20231013","2","23100","2210","3710","1210","6.23","12450","1920","3710","1210","10650","290","-","-"
"1329","20231013","2","9045","-1854","5180","896","1.75","6702","-1483","5180","896","2343","-371","-","-"
"1330","20231013","2","28496","-6835","21442","1123","1.33","23819","-5574","21442","1123","4677","-1261","-","-"
"1343","20231013","2","87830","-1690","53350","-28330","1.65","35200","7020","53250","-28330","52630","-8710","100","-"
"1345","20231013","2","44500","-1000","4900","700","9.08","11900","-700","4800","700","32600","-300","100","-"
"1346","20231013","2","8362","-2181","2373","35","3.52","6710","-1844","2373","35","1652","-337","-","-"
"1348","20231013","2","20510","1780","6330","-280","3.24","16760","-100","6330","-280","3750","1880","-","-"
"1349","20231013","2","1","-","-","-","-","1","-","-","-","-","-","-","-"
"1356","20231013","2","1046860","118430","259710","-19840","4.03","697360","142190","259710","-19840","349500","-23760","-","-"
"1357","20231013","2","83793786","13831052","11829439","-4383983","7.08","46944972","8572229","11829439","-4383983","36848814","5258823","-","-"
"1358","20231013","2","13034","-6887","7508","1615","1.74","8573","-4997","7508","1615","4461","-1890","-","-"
"1360","20231013","2","12969940","3432030","1564070","-865130","8.29","7238620","2547320","1564070","-865130","5731320","884710","-","-"
"1364","20231013","2","120","1","38","-2","3.16","7","1","38","-2","113","-","-","-"
"1365","20231013","2","33875","-10466","4859","586","6.97","12541","-5452","4859","586","21334","-5014","-","-"
"1366","20231013","2","922587","353564","38971","-86445","23.67","466751","183103","38971","-86445","455836","170461","-","-"
"1367","20231013","2","7632","-634","2025","-75","3.77","3792","-514","2025","-75","3840","-120","-","-"
"1368","20231013","2","98399","1142","4231","-3049","23.26","24004","1912","4231","-3049","74395","-770","-","-"
"1369","20231013","2","771","-338","228","-63","3.38","726","-288","228","-63","45","-50","-","-"
"1397","20231013","2","6","-294","34","1","0.18","6","6","34","1","-","-300","-","-"
"1398","20231013","2","2000","-40","-","-","-","60","-","-","-","1940","-40","-","-"
"1399","20231013","2","3230","-40","-","-","-","-","-40","-","-","3230","-","-","-"
"1456","20231013","2","94117","-6924","-","-1","-","88867","-6838","-","-1","5250","-86","-","-"
"1457","20231013","2","5947","1640","-","-5","-","798","491","-","-5","5149","1149","-","-"
"1458","20231013","2","117018","-62594","36781","13155","3.18","81877","-39114","36710","13084","35141","-23480","71","71"
"1459","20231013","2","5683058","1342514","503445","-420154","11.29","4048220","1069290","503445","-420154","1634838","273224","-","-"
"1464","20231013","2","827","16","46","2","17.98","117","19","46","2","710","-3","-","-"
"1465","20231013","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1466","20231013","2","1108","512","91","1","12.18","389","36","91","1","719","476","-","-"
"1469","20231013","2","18230","-1790","4870","-440","3.74","13840","-2080","4870","-440","4390","290","-","-"
"1472","20231013","2","1568","-","351","6","4.47","614","-","351","6","954","-","-","-"
"1473","20231013","2","40","-","-","-","-","40","-","-","-","-","-","-","-"
"1474","20231013","2","100","100","-","-","-","-","-","-","-","100","100","-","-"
"1475","20231013","2","404947","17519","11591","-23710","34.94","388242","14720","7586","-26710","16705","2799","4005","3000"
"1476","20231013","2","6952","-13484","269","236","25.84","5082","-13179","269","236","1870","-305","-","-"
"1477","20231013","2","106","60","-","-","-","106","60","-","-","-","-","-","-"
"1478","20231013","2","11125","-719","737","-10","15.09","2740","-80","737","-10","8385","-639","-","-"
"1479","20231013","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1480","20231013","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1481","20231013","2","105","32","49","-53","2.14","105","32","49","-53","-","-","-","-"
"1482","20231013","2","159076","30450","1200","-185","132.56","88439","28714","1200","-185","70637","1736","-","-"
"1483","20231013","2","2","-","-","-","-","2","-","-","-","-","-","-","-"
"1484","20231013","2","50","-","-","-","-","50","-","-","-","-","-","-","-"
"1485","20231013","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1486","20231013","2","3947","-30","-","-","-","2609","105","-","-","1338","-135","-","-"
"1487","20231013","2","9386","-275","145","84","64.73","3923","-256","145","84","5463","-19","-","-"
"1488","20231013","2","12760","-600","2360","40","5.41","4120","-710","2360","40","8640","110","-","-"
"1489","20231013","2","57429","778","2285","383","25.13","26425","-95","2285","383","31004","873","-","-"
"1490","20231013","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1492","20231013","2","95","-","63","6","1.51","58","-1","63","6","37","1","-","-"
"1493","20231013","2","57","-3","9","-","6.33","57","-3","9","-","-","-","-","-"
"1494","20231013","2","763","226","4","-","190.75","261","2","4","-","502","224","-","-"
"1495","20231013","2","1120","-280","360","-130","3.11","900","-250","360","-130","220","-30","-","-"
"1496","20231013","2","51619","-476","1236","-1594","41.76","29121","-1981","1236","-1594","22498","1505","-","-"
"1497","20231013","2","145874","-6278","595","-4200","245.17","47279","-4349","595","-4200","98595","-1929","-","-"
"1498","20231013","2","3","2","-","-","-","3","2","-","-","-","-","-","-"
"1499","20231013","2","902","14","-","-","-","887","-","-","-","15","14","-","-"
"1540","20231013","2","241507","21955","9326","-5899","25.9","71518","7461","9326","-5899","169989","14494","-","-"
"1541","20231013","2","97063","-277","1750","40","55.46","35116","-1936","1750","40","61947","1659","-","-"
"1542","20231013","2","39554","-2089","2638","48","14.99","12708","-545","2638","48","26846","-1544","-","-"
"1543","20231013","2","2615","68","-","-","-","1436","15","-","-","1179","53","-","-"
"1545","20231013","2","116009","-2272","49647","2664","2.34","52634","5642","49047","2064","63375","-7914","600","600"
"1546","20231013","2","8153","-644","4924","-691","1.66","3740","-509","4924","-691","4413","-135","-","-"
"1547","20231013","2","94070","-7040","56220","-2570","1.67","26880","-920","56220","-2570","67190","-6120","-","-"
"1550","20231013","2","41820","380","1680","200","24.89","15800","410","1680","200","26020","-30","-","-"
"1551","20231013","2","720","-","20","10","36","150","-","20","10","570","-","-","-"
"1552","20231013","2","4698843","258132","15020","-3180","312.84","3256669","262556","-","-","1442174","-4424","15020","-3180"
"1554","20231013","2","18490","210","300","-140","61.63","5680","200","300","-140","12810","10","-","-"
"1555","20231013","2","8080","-3080","550","190","14.69","4990","-3460","550","190","3090","380","-","-"
"1557","20231013","2","2158","33","-","-","-","542","69","-","-","1616","-36","-","-"
"1559","20231013","2","3027","306","102","57","29.68","637","298","102","57","2390","8","-","-"
